CALL_APP_VIA_DJANGO,CALL_APP_DIRECTLY
2.0274551,2.0158081
2.0411849,2.0371822
2.0632651,2.0519271
2.0427,2.025245
2.0432761,2.0824859
2.011011,1.997108
2.09197,2.0298591
2.7856952,2.0110258
3.1513518,2.042268
2.0699862,2.0465259
2.0533791,2.036242
2.049032,2.01776
2.153116,2.0076612
2.100826,1.98648
2.045043,2.0522991
2.0767441,2.169069
2.0470779,1.981264
2.058982,2.029011
2.079794,2.017184
2.064333,2.035338
2.110806,2.456108
2.0865779,2.051996
2.1501279,2.152003
3.167115,2.243962
2.0609751,2.044061
2.088192,2.0105939
2.0516369,2.0649979
2.037278,2.0466462
2.042379,2.0379081
2.0906392,2.02931
2.0991111,2.0883629
2.0533359,2.009292
2.0665249,2.0592621
2.0898029,2.017622
2.075053,2.0224719
2.042098,2.0669639
2.0856531,2.026504
2.0475271,2.013553
3.1060308,2.071203
2.011298,2.047321
2.045929,2.0935509
2.0516269,2.119163
2.028723,2.091017
2.130847,2.0680821
2.068266,2.0667501
2.167685,2.083356
2.0757958,2.111028
2.056478,2.019349
2.113491,2.005159
2.098852,2.0245299
2.045337,2.0314081
2.098962,1.966555
2.363276,1.996863
2.269725,2.05861
2.177115,1.956789
2.090313,2.047584
2.003463,2.048479
2.145504,2.0402639
2.05429,2.084115
2.157518,2.267166
2.070566,2.091407
2.0568769,2.014169
2.0300181,2.038734
2.070692,2.025483
2.042695,2.022099
2.0500919,2.0202899
2.0989749,2.057745
2.092421,1.989055
2.02409,2.062374
2.0745611,2.04374
2.123442,2.015853
2.069238,1.985213
2.0446031,2.064647
2.06153,2.06565
2.04513,2.0363319
2.107552,2.0324609
2.09361,2.040046
2.033118,2.0752831
2.07883,2.400773
2.0493099,2.075795
2.070771,2.1145698
1.9858511,1.999323
2.051305,1.992023
3.1195468,2.0149669
2.044001,2.0531361
2.0459709,1.970377
2.16657,2.015603
2.103771,1.972762
2.039847,1.993141
2.0429161,1.9972381
2.26332,2.025809
2.067525,1.960111
2.0598039,2.0696509
2.089946,2.152836
2.106903,2.142206
2.034148,2.044414
2.075655,2.0907012
3.131327,2.059869
2.02915,2.053835
2.105935,2.008065
2.014062,2.0391679
2.1025988,2.0000069
2.029207,1.990748
2.074782,2.030035
2.123659,2.009463
2.0432241,2.084442
2.053704,2.038837
2.0621431,2.0181438
2.0370269,2.061685
2.112469,2.0621991
2.265786,2.1056919
3.09865,2.221349
2.006698,2.043052
2.0627351,2.08294
2.1421239,2.066392
2.145371,2.048548
2.0381701,2.0990601
2.072438,2.045728
2.080218,2.0527288
2.249954,2.0393951
2.116111,2.017246
2.0952138,1.970165
2.097828,2.031707
2.138637,2.07617
2.838212,2.0537779
2.0388539,2.079097
2.0884769,2.0755479
2.055718,2.3990281
2.2234571,2.1022812
2.074858,2.0601411
2.014277,2.035683
2.0263131,2.102966
2.0494029,2.087621
1.999936,2.043432
2.047513,2.06603
2.1805461,2.0564881
2.0638001,2.015239
2.0989361,2.021375
2.0818341,2.039073
2.1532741,2.1002829
2.1839349,2.0717089
2.228581,2.0451578
2.088711,2.1421199
2.147367,2.1356289
2.0290041,2.105372
2.192498,2.112715
2.227448,2.1085279
2.083222,7.166869
3.817054,3.097547
3.242818,2.024987
2.0548621,2.051084
2.102339,2.0412841
2.310607,2.031492
2.1514001,2.0149961
2.24193,1.998095
2.083488,2.030257
2.1599519,2.070277
2.090375,2.042199
2.116028,2.057822
2.2986369,2.141629
2.279968,2.050325
2.1504459,2.1218792
2.1725349,2.1484831
3.907588,2.2460489
3.193543,3.5095042
2.044504,2.167629
2.165961,2.1762618
2.133685,2.07692
2.094909,2.104743
2.038513,2.0409949
2.161959,2.144548
2.04971,2.060405
2.0715001,2.077703
2.0955169,2.0438549
2.08891,2.224695
2.173635,2.0735149
2.0663781,2.1046081
2.318281,2.075181
3.164659,2.097249
2.0793979,2.112787
2.089032,2.2408769
2.193253,2.270735
1.969609,2.1328671
1.927579,2.224628
2.056144,2.144754
1.998195,2.101433
2.025443,2.006922
2.059402,2.0962219
2.08885,2.101051
2.0799589,2.129883
2.2339371,2.1139081
2.301544,2.087284
3.2306808,2.066255
2.08142,2.006325
2.060926,2.050556
2.0400651,2.126877
2.058268,2.0766671
2.0367411,2.09023
2.1081631,2.045836
2.082484,2.002687
2.050318,2.028
2.0735681,2.032716
2.117271,2.003518
2.093666,2.068495
2.086672,2.031891
2.0535418,2.0588939
2.088547,2.0928669
2.06568,2.074923
2.055887,2.129914
2.039009,2.074577
2.021691,2.103819
2.0208581,2.1301429
2.083042,2.3022671
2.055134,2.715281
2.046943,2.212338
2.0751989,3.031543
2.069169,2.556282
2.153105,2.068183
2.1171391,2.032175
2.068795,2.039727
2.1207869,2.0776191
2.0279369,2.0115189
2.02987,2.04372
2.1128312,2.036879
2.228134,2.046816
2.1319151,2.0442191
2.0633249,2.0433481
2.081184,2.1026489
2.022053,2.08468
2.1352229,2.104259
2.039837,2.2012278
2.044787,2.1942799
2.075027,2.379572
2.046905,2.186364
2.0640162,2.591612
2.0852871,8.648297
2.088701,4.287352
1.999023,2.055597
2.176127,2.065146
2.057349,2.1441701
2.055097,2.063102
2.0298819,2.06929
2.077789,2.033447
2.0546651,2.068007
2.08352,2.078655
2.067782,2.098637
2.022146,2.070895
2.0869999,2.0384319
2.104241,2.064533
2.112833,2.0657389
2.1486771,2.147835
5.565717,2.1404359
2.1101251,2.09265
